trap_id,trap_kind,expected,received_at,channel,from_name,body
t01,deescalation_vs_gas,emergency,2026-08-20T09:10:00,sms,Trap One,"no rush at all but there's a smell of gas in the utility room, whenever you're passing"
t02,deescalation_vs_gas,emergency,2026-08-20T09:11:00,whatsapp,Trap Two,"Not urgent — kitchen smells of gas a bit. No hurry, next week is fine. Thanks"
t03,deescalation_decoy,routine,2026-08-20T09:12:00,sms,Trap Three,"The radiator valve is stiff, not urgent, whenever you're passing. Thanks"
t04,deescalation_decoy,routine,2026-08-20T09:13:00,whatsapp,Trap Four,"Boiler serviced last week, all good. Just wondering about a quote for a new radiator, no rush"
t05,buried_in_compliment,emergency,2026-08-20T09:14:00,whatsapp,Trap Five,"Thanks so much for Tuesday, the lad was lovely and tidied up after himself. Quick one, invoice 4021 looks like it's been charged twice? Also there's water pouring through the kitchen ceiling. Cheers"
t06,buried_in_compliment,emergency,2026-08-20T09:15:00,sms,Trap Six,"Brilliant job on the bathroom, really pleased. By the way the CO alarm has been going off since last night"
t07,inaudible_truncation,emergency,2026-08-20T09:16:00,voicemail,Trap Seven,"yeah hi there's a strong smell of gas in the [inaudible] can you [inaudible] as soon as"
t08,inaudible_truncation,same_day,2026-08-20T09:17:00,voicemail,Trap Eight,"erm no hot water at all since [inaudible] and the boiler's making a [inaudible] noise"
t09,typos,emergency,2026-08-20T09:18:00,sms,Trap Nine,"i can smel gass in teh kitchen its quite strong pls come"
t10,typos,same_day,2026-08-20T09:19:00,whatsapp,Trap Ten,"boier showing fault code f22, no heatin or hot watter at all, tried resetin it twice"
t11,allcaps,emergency,2026-08-20T09:20:00,sms,Trap Eleven,"BURST PIPE UPSTAIRS WATER COMING THROUGH THE CEILING PLEASE COME NOW"
t12,allcaps_decoy,routine,2026-08-20T09:21:00,sms,Trap Twelve,"CAN I GET A DUPLICATE GAS SAFETY CERTIFICATE FOR 40 MILL LANE PLEASE, MINE'S GONE MISSING"
t13,vulnerable_no_keyword,emergency,2026-08-20T09:22:00,sms,Trap Thirteen,"Mum is 89 and there is no heating at all, the house is freezing and she's not well. Please can someone come out"
t14,vulnerable_no_keyword,emergency,2026-08-20T09:23:00,whatsapp,Trap Fourteen,"No heating and no hot water since last night and I've got a three week old baby in the house"
t15,vulnerable_no_keyword,same_day,2026-08-20T09:24:00,sms,Trap Fifteen,"Dad's on oxygen and the boiler has locked out, house is getting cold"
t16,multi_intent,same_day,2026-08-20T09:25:00,whatsapp,Trap Sixteen,"Can you send the gas safety certificate for the letting agent? Also the shower has gone completely cold, can't use it at all. And what's your callout charge?"
t17,loss_of_service,same_day,2026-08-20T09:26:00,sms,Trap Seventeen,"Shower has gone completely cold, can't use it at all. Any chance of someone today"
t18,contained_leak,same_day,2026-08-20T09:27:00,whatsapp,Trap Eighteen,"There's a slow drip under the kitchen sink, it's filled a bucket overnight"
t19,gas_wrong_sense,routine,2026-08-20T09:28:00,sms,Trap Nineteen,"Hi, are you able to service a gas hob? Looking for a price, no rush at all"
t20,gas_wrong_sense,routine,2026-08-20T09:29:00,whatsapp,Trap Twenty,"Just checking you're Gas Safe registered before I book anything in. Thanks"
t21,past_tense_resolved,routine,2026-08-20T09:30:00,sms,Trap TwentyOne,"There was a smell of gas last month but the emergency lot came out and fixed it. Just wanted the annual service booking now"
t22,out_of_hours,emergency,2026-08-20T22:40:00,voicemail,Trap TwentyTwo,"erm hello it's twenty to eleven at night and there's a really strong smell of gas in the hallway"
